Updated On,State,First Dose Administered,Second Dose Administered,Total Doses Administered
06/03/2021,Madhya Pradesh,858101,234666,1092767
06/03/2021,Maharashtra,1482838,261582,1744420
06/03/2021,Manipur,68405,5009,73414
06/03/2021,Meghalaya,40902,3981,44883
06/03/2021,Mizoram,32984,9213,42197
06/03/2021,Nagaland,36626,6043,42669
06/03/2021,Odisha,623512,198600,822112
06/03/2021,Puducherry,16536,2311,18847
06/03/2021,Punjab,217550,49427,266977
06/03/2021,Rajasthan,1802425,329018,2131443
06/03/2021,Sikkim,24714,4148,28862
06/03/2021,Tamil Nadu,749180,97917,847097
06/03/2021,Telangana,378962,131942,510904
06/03/2021,Tripura,105394,29827,135221
06/03/2021,Uttar Pradesh,1300671,411044,1711715
06/03/2021,Uttarakhand,188803,54089,242892
06/03/2021,West Bengal,1332857,247942,1580799
06/03/2021,Miscellaneous,1115834,56358,1172192
06/03/2021,Total,17168303,3754041,20922344
07/03/2021,Andaman and Nicobar Islands,9187,2865,12052
07/03/2021,Andhra Pradesh,651309,182716,834025
07/03/2021,Arunachal Pradesh,36210,9457,45667
07/03/2021,Assam,354334,51060,405394
07/03/2021,Bihar,650391,191841,842232
07/03/2021,Chandigarh,32210,3140,35350
07/03/2021,Chhattisgarh,513728,120922,634650
07/03/2021,Dadra and Nagar Haveli and Daman and Diu,11501,1725,13226
07/03/2021,Delhi,494939,65135,560074
07/03/2021,Goa,36740,6318,43058
07/03/2021,Gujarat,1421113,344594,1765707
07/03/2021,Haryana,279531,86121,365652
07/03/2021,Himachal Pradesh,124695,45758,170453
07/03/2021,Jammu and Kashmir,312827,26397,339224
07/03/2021,Jharkhand,342209,64047,406256
07/03/2021,Karnataka,704249,235677,939926
07/03/2021,Kerala,835572,185422,1020994
07/03/2021,Ladakh,14599,2135,16734
07/03/2021,Lakshadweep,2638,832,3470
07/03/2021,Madhya Pradesh,858101,234666,1092767
07/03/2021,Maharashtra,1484440,261625,1746065
07/03/2021,Manipur,68467,5027,73494
07/03/2021,Meghalaya,40902,4048,44950
07/03/2021,Mizoram,32984,9213,42197
07/03/2021,Nagaland,36626,6043,42669
07/03/2021,Odisha,623512,198600,822112
07/03/2021,Puducherry,16536,2311,18847
07/03/2021,Punjab,218937,49508,268445
07/03/2021,Rajasthan,1806825,329424,2136249
07/03/2021,Sikkim,24714,4148,28862
07/03/2021,Tamil Nadu,749180,97917,847097
07/03/2021,Telangana,378962,131942,510904
07/03/2021,Tripura,105394,29827,135221
07/03/2021,Uttar Pradesh,1300671,411044,1711715
07/03/2021,Uttarakhand,189624,54158,243782
07/03/2021,West Bengal,1343071,248797,1591868
07/03/2021,Miscellaneous,1120975,56647,1177622
07/03/2021,Total,17227903,3761107,20989010
08/03/2021,Andaman and Nicobar Islands,9890,2998,12888
08/03/2021,Andhra Pradesh,686405,195839,882244
08/03/2021,Arunachal Pradesh,38211,10263,48474
08/03/2021,Assam,382808,58891,441699
08/03/2021,Bihar,822286,222083,1044369
08/03/2021,Chandigarh,35181,3625,38806
08/03/2021,Chhattisgarh,549916,133822,683738
08/03/2021,Dadra and Nagar Haveli and Daman and Diu,12139,1859,13998
08/03/2021,Delhi,523361,72451,595812
08/03/2021,Goa,40162,6639,46801
08/03/2021,Gujarat,1589197,363951,1953148
08/03/2021,Haryana,306498,91809,398307
08/03/2021,Himachal Pradesh,130571,48673,179244
08/03/2021,Jammu and Kashmir,333595,31206,364801
08/03/2021,Jharkhand,354915,74678,429593
08/03/2021,Karnataka,760524,252671,1013195
08/03/2021,Kerala,926083,203608,1129691
08/03/2021,Ladakh,17072,2236,19308
08/03/2021,Lakshadweep,2784,854,3638
08/03/2021,Madhya Pradesh,927953,248379,1176332
08/03/2021,Maharashtra,1654605,285764,1940369
08/03/2021,Manipur,70581,6248,76829
08/03/2021,Meghalaya,43008,4680,47688
08/03/2021,Mizoram,34814,9276,44090
08/03/2021,Nagaland,39036,6433,45469
08/03/2021,Odisha,676209,231787,907996
08/03/2021,Puducherry,18109,2509,20618
08/03/2021,Punjab,235739,52365,288104
08/03/2021,Rajasthan,1979962,347013,2326975
08/03/2021,Sikkim,27392,5099,32491
08/03/2021,Tamil Nadu,852767,104581,957348
08/03/2021,Telangana,413824,143154,556978
08/03/2021,Tripura,111205,33469,144674
08/03/2021,Uttar Pradesh,1501803,416526,1918329
08/03/2021,Uttarakhand,206404,59922,266326
08/03/2021,West Bengal,1460507,269515,1730022
08/03/2021,Miscellaneous,1167767,60574,1228341
08/03/2021,Total,18943283,4065450,23008733
09/03/2021,Andaman and Nicobar Islands,10433,3037,13470
09/03/2021,Andhra Pradesh,721786,208374,930160
09/03/2021,Arunachal Pradesh,39733,10651,50384
09/03/2021,Assam,404131,65256,469387
09/03/2021,Bihar,875735,244396,1120131
09/03/2021,Chandigarh,37475,4125,41600
09/03/2021,Chhattisgarh,579308,144952,724260
09/03/2021,Dadra and Nagar Haveli and Daman and Diu,12560,2092,14652
09/03/2021,Delhi,549097,80954,630051
09/03/2021,Goa,43354,7055,50409
09/03/2021,Gujarat,1709970,407287,2117257
09/03/2021,Haryana,332536,100219,432755
09/03/2021,Himachal Pradesh,147343,56024,203367
09/03/2021,Jammu and Kashmir,355149,37332,392481
09/03/2021,Jharkhand,366244,88551,454795
09/03/2021,Karnataka,806664,264374,1071038
09/03/2021,Kerala,1012344,221228,1233572
09/03/2021,Ladakh,19919,2313,22232
09/03/2021,Lakshadweep,3066,902,3968
09/03/2021,Madhya Pradesh,933934,248697,1182631
09/03/2021,Maharashtra,1783789,305357,2089146
09/03/2021,Manipur,72387,6643,79030
09/03/2021,Meghalaya,44814,5534,50348
09/03/2021,Mizoram,37761,9400,47161
09/03/2021,Nagaland,40755,6924,47679
09/03/2021,Odisha,716886,255039,971925
09/03/2021,Puducherry,19275,2803,22078
09/03/2021,Punjab,251631,55914,307545
09/03/2021,Rajasthan,2019948,367849,2387797
09/03/2021,Sikkim,29847,5862,35709
09/03/2021,Tamil Nadu,925927,111897,1037824
09/03/2021,Telangana,438673,155505,594178
09/03/2021,Tripura,115500,37446,152946
09/03/2021,Uttar Pradesh,1518536,416986,1935522
09/03/2021,Uttarakhand,223578,65695,289273
09/03/2021,West Bengal,1596083,292981,1889064
09/03/2021,Miscellaneous,1208056,64025,1272081
09/03/2021,Total,20004227,4363679,24367906
10/03/2021,Andaman and Nicobar Islands,10749,3048,13797
10/03/2021,Andhra Pradesh,756593,216646,973239
10/03/2021,Arunachal Pradesh,39733,10651,50384
10/03/2021,Assam,419158,68981,488139
10/03/2021,Bihar,918099,261191,1179290
10/03/2021,Chandigarh,39856,4611,44467
10/03/2021,Chhattisgarh,614651,160112,774763
10/03/2021,Dadra and Nagar Haveli and Daman and Diu,13214,2342,15556
10/03/2021,Delhi,571616,89375,660991
10/03/2021,Goa,46796,7819,54615
10/03/2021,Gujarat,1734671,428253,2162924
10/03/2021,Haryana,348452,103317,451769
10/03/2021,Himachal Pradesh,154500,59081,213581
10/03/2021,Jammu and Kashmir,355348,37021,392369
10/03/2021,Jharkhand,377431,95656,473087
10/03/2021,Karnataka,882327,281517,1163844
10/03/2021,Kerala,1056499,232717,1289216
10/03/2021,Ladakh,22924,2514,25438
10/03/2021,Lakshadweep,3066,902,3968
10/03/2021,Madhya Pradesh,1012791,275183,1287974
10/03/2021,Maharashtra,1981629,336067,2317696
10/03/2021,Manipur,73510,7902,81412
10/03/2021,Meghalaya,46525,6390,52915
10/03/2021,Mizoram,41288,9799,51087
10/03/2021,Nagaland,42504,7777,50281
10/03/2021,Odisha,744937,271999,1016936
10/03/2021,Puducherry,20967,3040,24007
10/03/2021,Punjab,265625,59042,324667
10/03/2021,Rajasthan,2102124,408794,2510918
10/03/2021,Sikkim,33256,6394,39650
10/03/2021,Tamil Nadu,1005619,119105,1124724
10/03/2021,Telangana,459769,163865,623634
10/03/2021,Tripura,116345,38565,154910
10/03/2021,Uttar Pradesh,1539060,417448,1956508
10/03/2021,Uttarakhand,234765,69933,304698
10/03/2021,West Bengal,1712338,313261,2025599
10/03/2021,Miscellaneous,1235746,70212,1305958
10/03/2021,Total,21034481,4650530,25685011
11/03/2021,Andaman and Nicobar Islands,11228,3060,14288
11/03/2021,Andhra Pradesh,763896,217825,981721
11/03/2021,Arunachal Pradesh,42096,11290,53386
11/03/2021,Assam,436022,72959,508981
11/03/2021,Bihar,918099,261191,1179290
11/03/2021,Chandigarh,40727,4690,45417
11/03/2021,Chhattisgarh,618339,161209,779548
11/03/2021,Dadra and Nagar Haveli and Daman and Diu,13214,2342,15556
11/03/2021,Delhi,593382,97050,690432
11/03/2021,Goa,48076,8767,56843
11/03/2021,Gujarat,1744972,428773,2173745
11/03/2021,Haryana,357300,104396,461696
11/03/2021,Himachal Pradesh,154957,59331,214288
11/03/2021,Jammu and Kashmir,356152,37216,393368
11/03/2021,Jharkhand,386915,102099,489014
11/03/2021,Karnataka,899482,284476,1183958
11/03/2021,Kerala,1105629,240623,1346252
11/03/2021,Ladakh,25706,2725,28431
11/03/2021,Lakshadweep,3066,902,3968
11/03/2021,Madhya Pradesh,1012791,275183,1287974
11/03/2021,Maharashtra,2053729,344672,2398401
11/03/2021,Manipur,74320,8682,83002
11/03/2021,Meghalaya,48569,7518,56087
11/03/2021,Mizoram,42920,9946,52866
11/03/2021,Nagaland,43972,9008,52980
11/03/2021,Odisha,747398,272809,1020207
11/03/2021,Puducherry,22330,3228,25558
11/03/2021,Punjab,271423,59522,330945
11/03/2021,Rajasthan,2102606,408812,2511418
11/03/2021,Sikkim,36339,7150,43489
11/03/2021,Tamil Nadu,1078862,126323,1205185
11/03/2021,Telangana,459769,163865,623634
11/03/2021,Tripura,117161,39571,156732
11/03/2021,Uttar Pradesh,1541820,417492,1959312
11/03/2021,Uttarakhand,237395,70576,307971
11/03/2021,West Bengal,1768499,323763,2092262
11/03/2021,Miscellaneous,1256680,80035,1336715
11/03/2021,Total,21435841,4729079,26164920
12/03/2021,Andaman and Nicobar Islands,11729,3145,14874
12/03/2021,Andhra Pradesh,804344,227582,1031926
12/03/2021,Arunachal Pradesh,43894,11815,55709
12/03/2021,Assam,450937,77240,528177
12/03/2021,Bihar,1031520,283345,1314865
12/03/2021,Chandigarh,42914,5120,48034
12/03/2021,Chhattisgarh,651528,176659,828187
12/03/2021,Dadra and Nagar Haveli and Daman and Diu,14038,2650,16688
12/03/2021,Delhi,614404,106603,721007
12/03/2021,Goa,52051,10122,62173
12/03/2021,Gujarat,1871835,476040,2347875
12/03/2021,Haryana,391275,110641,501916
12/03/2021,Himachal Pradesh,170902,65691,236593
12/03/2021,Jammu and Kashmir,356564,37255,393819
12/03/2021,Jharkhand,404078,115956,520034
12/03/2021,Karnataka,999834,300328,1300162
12/03/2021,Kerala,1211414,257856,1469270
12/03/2021,Ladakh,28226,2821,31047
12/03/2021,Lakshadweep,3066,902,3968
12/03/2021,Madhya Pradesh,1016958,277856,1294814
12/03/2021,Maharashtra,2275285,378072,2653357
12/03/2021,Manipur,75463,10191,85654
12/03/2021,Meghalaya,49791,8551,58342
12/03/2021,Mizoram,44223,10008,54231
12/03/2021,Nagaland,44508,9518,54026
12/03/2021,Odisha,798851,299260,1098111
12/03/2021,Puducherry,23809,3522,27331
12/03/2021,Punjab,287170,63517,350687
12/03/2021,Rajasthan,2258451,439812,2698263
12/03/2021,Sikkim,38844,7429,46273
12/03/2021,Tamil Nadu,1162732,135519,1298251
12/03/2021,Telangana,459769,163865,623634
12/03/2021,Tripura,123437,45672,169109
12/03/2021,Uttar Pradesh,1790224,499242,2289466
12/03/2021,Uttarakhand,259612,78008,337620
12/03/2021,West Bengal,1940615,350871,2291486
12/03/2021,Miscellaneous,1271209,90269,1361478
12/03/2021,Total,23075504,5142953,28218457
13/03/2021,Andaman and Nicobar Islands,11921,3282,15203
13/03/2021,Andhra Pradesh,844903,232910,1077813
13/03/2021,Arunachal Pradesh,44808,12248,57056
13/03/2021,Assam,459599,79314,538913
13/03/2021,Bihar,1098054,302895,1400949
13/03/2021,Chandigarh,44990,5602,50592
13/03/2021,Chhattisgarh,694275,191714,885989
13/03/2021,Dadra and Nagar Haveli and Daman and Diu,14478,2688,17166
13/03/2021,Delhi,643787,117073,760860
13/03/2021,Goa,55691,10452,66143
13/03/2021,Gujarat,1981447,503706,2485153
13/03/2021,Haryana,408138,112287,520425
13/03/2021,Himachal Pradesh,176346,67113,243459
13/03/2021,Jammu and Kashmir,385625,51026,436651
13/03/2021,Jharkhand,418414,128045,546459
13/03/2021,Karnataka,1051003,306059,1357062
13/03/2021,Kerala,1274773,266575,1541348
13/03/2021,Ladakh,30743,2907,33650
13/03/2021,Lakshadweep,3501,1592,5093
13/03/2021,Madhya Pradesh,1138321,327284,1465605
13/03/2021,Maharashtra,2385928,397395,2783323
13/03/2021,Manipur,76055,10636,86691
13/03/2021,Meghalaya,50568,9346,59914
13/03/2021,Mizoram,44703,10084,54787
13/03/2021,Nagaland,44734,9841,54575
13/03/2021,Odisha,850414,312535,1162949
13/03/2021,Puducherry,25487,3832,29319
13/03/2021,Punjab,301937,66193,368130
13/03/2021,Rajasthan,2436818,457912,2894730
13/03/2021,Sikkim,39100,7429,46529
13/03/2021,Tamil Nadu,1240261,143923,1384184
13/03/2021,Telangana,478458,168709,647167
13/03/2021,Tripura,125251,47726,172977
13/03/2021,Uttar Pradesh,1813437,501476,2314913
13/03/2021,Uttarakhand,272857,82735,355592
13/03/2021,West Bengal,2050790,370634,2421424
13/03/2021,Miscellaneous,1290020,105596,1395616
13/03/2021,Total,24307635,5430774,29738409
14/03/2021,Andaman and Nicobar Islands,11921,3282,15203
14/03/2021,Andhra Pradesh,844903,232910,1077813
14/03/2021,Arunachal Pradesh,44808,12248,57056
14/03/2021,Assam,459911,79343,539254
14/03/2021,Bihar,1098054,302895,1400949
14/03/2021,Chandigarh,45112,5602,50714
14/03/2021,Chhattisgarh,700293,192375,892668
14/03/2021,Dadra and Nagar Haveli and Daman and Diu,14478,2688,17166
14/03/2021,Delhi,643787,117073,760860
14/03/2021,Goa,55691,10452,66143
14/03/2021,Gujarat,1992286,504411,2496697
14/03/2021,Haryana,409956,112407,522363
14/03/2021,Himachal Pradesh,177837,67255,245092
14/03/2021,Jammu and Kashmir,385625,51026,436651
14/03/2021,Jharkhand,430407,134234,564641
14/03/2021,Karnataka,1066365,306859,1373224
14/03/2021,Kerala,1281316,267367,1548683
14/03/2021,Ladakh,31232,2908,34140
14/03/2021,Lakshadweep,3501,1592,5093
14/03/2021,Madhya Pradesh,1138321,327284,1465605
14/03/2021,Maharashtra,2427213,404937,2832150
14/03/2021,Manipur,76055,10636,86691
14/03/2021,Meghalaya,50568,9346,59914
14/03/2021,Mizoram,44703,10084,54787
14/03/2021,Nagaland,44747,9968,54715
14/03/2021,Odisha,850414,312535,1162949
14/03/2021,Puducherry,25487,3832,29319
14/03/2021,Punjab,302261,66203,368464
14/03/2021,Rajasthan,2440682,458218,2898900
14/03/2021,Sikkim,39100,7429,46529
14/03/2021,Tamil Nadu,1240261,143923,1384184
14/03/2021,Telangana,502323,173593,675916
14/03/2021,Tripura,125758,47732,173490
14/03/2021,Uttar Pradesh,1818627,501527,2320154
14/03/2021,Uttarakhand,274020,83136,357156
14/03/2021,West Bengal,2063801,372182,2435983
14/03/2021,Miscellaneous,1290561,106161,1396722
14/03/2021,Total,24452385,5455653,29908038
15/03/2021,Andaman and Nicobar Islands,12157,3426,15583
15/03/2021,Andhra Pradesh,845404,232991,1078395
15/03/2021,Arunachal Pradesh,74498,22300,96798
15/03/2021,Assam,464999,79906,544905
15/03/2021,Bihar,1234787,326168,1560955
15/03/2021,Chandigarh,194902,14876,209778
15/03/2021,Chhattisgarh,710549,195317,905866
15/03/2021,Dadra and Nagar Haveli and Daman and Diu,64098,28115,92213
15/03/2021,Delhi,817041,129887,946928
15/03/2021,Goa,182834,23992,206826
15/03/2021,Gujarat,1994844,504430,2499274
15/03/2021,Haryana,410201,112577,522778
15/03/2021,Himachal Pradesh,325315,110039,435354
15/03/2021,Jammu and Kashmir,616705,84843,701548
15/03/2021,Jharkhand,431479,136349,567828
15/03/2021,Karnataka,1067403,307409,1374812
15/03/2021,Kerala,1282791,267797,1550588
15/03/2021,Ladakh,33250,4457,37707
15/03/2021,Lakshadweep,105173,21492,126665
15/03/2021,Madhya Pradesh,1140637,327513,1468150
15/03/2021,Maharashtra,2449881,408811,2858692
15/03/2021,Manipur,268609,24434,293043
15/03/2021,Meghalaya,53265,9638,62903
15/03/2021,Mizoram,151622,18726,170348
15/03/2021,Nagaland,80477,13908,94385
15/03/2021,Odisha,864233,319526,1183759
15/03/2021,Puducherry,331211,51441,382652
15/03/2021,Punjab,327561,71481,399042
15/03/2021,Rajasthan,2663348,488324,3151672
15/03/2021,Sikkim,41797,7721,49518
15/03/2021,Tamil Nadu,1298327,148328,1446655
15/03/2021,Telangana,521218,173593,694811
15/03/2021,Tripura,139577,54723,194300
15/03/2021,Uttar Pradesh,2054357,534537,2588894
15/03/2021,Uttarakhand,299156,88383,387539
15/03/2021,West Bengal,2214696,393356,2608052
15/03/2021,Miscellaneous,1311082,127134,1438216
15/03/2021,Total,27079484,5867948,32947432
16/03/2021,Andaman and Nicobar Islands,12632,3562,16194
16/03/2021,Andhra Pradesh,980819,254463,1235282
16/03/2021,Arunachal Pradesh,48684,13484,62168
16/03/2021,Assam,492729,87966,580695
16/03/2021,Bihar,1227941,336166,1564107
16/03/2021,Chandigarh,49225,6792,56017
16/03/2021,Chhattisgarh,813033,222034,1035067
16/03/2021,Dadra and Nagar Haveli and Daman and Diu,15997,3035,19032
16/03/2021,Delhi,700600,138439,839039
16/03/2021,Goa,65941,11395,77336
16/03/2021,Gujarat,2259206,552817,2812023
16/03/2021,Haryana,623504,125392,748896
16/03/2021,Himachal Pradesh,221670,74008,295678
16/03/2021,Jammu and Kashmir,440949,79347,520296
16/03/2021,Jharkhand,480914,161402,642316
16/03/2021,Karnataka,1347078,329222,1676300
16/03/2021,Kerala,1540945,295270,1836215
16/03/2021,Ladakh,35187,3345,38532
16/03/2021,Lakshadweep,3746,1762,5508
16/03/2021,Madhya Pradesh,1292780,371081,1663861
16/03/2021,Maharashtra,2862885,466502,3329387
16/03/2021,Manipur,77819,13911,91730
16/03/2021,Meghalaya,53494,11818,65312
16/03/2021,Mizoram,48736,10608,59344
16/03/2021,Nagaland,48238,12962,61200
16/03/2021,Odisha,1042071,342871,1384942
16/03/2021,Puducherry,30247,4318,34565
16/03/2021,Punjab,345891,72780,418671
16/03/2021,Rajasthan,2862220,485483,3347703
16/03/2021,Sikkim,43669,7994,51663
16/03/2021,Tamil Nadu,1443532,163399,1606931
16/03/2021,Telangana,561948,180071,742019
16/03/2021,Tripura,155463,58020,213483
16/03/2021,Uttar Pradesh,2510657,632615,3143272
16/03/2021,Uttarakhand,324643,93825,418468
16/03/2021,West Bengal,2462432,424523,2886955
16/03/2021,Miscellaneous,1334512,149817,1484329
16/03/2021,Total,28862037,6202499,35064536
17/03/2021,Andaman and Nicobar Islands,12632,3562,16194
17/03/2021,Andhra Pradesh,1049415,266777,1316192
17/03/2021,Arunachal Pradesh,48684,13484,62168
17/03/2021,Assam,501357,89481,590838
17/03/2021,Bihar,1286394,347671,1634065
17/03/2021,Chandigarh,50838,7241,58079
17/03/2021,Chhattisgarh,879589,234912,1114501
17/03/2021,Dadra and Nagar Haveli and Daman and Diu,16642,3241,19883
17/03/2021,Delhi,719872,147561,867433
17/03/2021,Goa,68755,11821,80576
17/03/2021,Gujarat,2293447,560511,2853958
17/03/2021,Haryana,636594,126501,763095
17/03/2021,Himachal Pradesh,229726,76099,305825
17/03/2021,Jammu and Kashmir,441129,79366,520495
17/03/2021,Jharkhand,508663,172019,680682
17/03/2021,Karnataka,1585066,342180,1927246
17/03/2021,Kerala,1587659,303772,1891431
17/03/2021,Ladakh,36299,3647,39946
17/03/2021,Lakshadweep,3940,1851,5791
17/03/2021,Madhya Pradesh,1461627,404511,1866138
17/03/2021,Maharashtra,3105169,498255,3603424
17/03/2021,Manipur,78662,15720,94382
17/03/2021,Meghalaya,54971,13539,68510
17/03/2021,Mizoram,49392,10671,60063
17/03/2021,Nagaland,49248,13900,63148
17/03/2021,Odisha,1123080,348236,1471316
17/03/2021,Puducherry,33239,4530,37769
17/03/2021,Punjab,365975,75415,441390
17/03/2021,Rajasthan,3092635,592208,3684843
17/03/2021,Sikkim,45940,8359,54299
17/03/2021,Tamil Nadu,1544770,173543,1718313
17/03/2021,Telangana,598871,181044,779915
17/03/2021,Tripura,164782,58868,223650
17/03/2021,Uttar Pradesh,2607439,638884,3246323
17/03/2021,Uttarakhand,339854,97213,437067
17/03/2021,West Bengal,2577103,439932,3017035
17/03/2021,Miscellaneous,1351329,175943,1527272
17/03/2021,Total,30600787,6542468,37143255
18/03/2021,Andaman and Nicobar Islands,13102,3969,17071
18/03/2021,Andhra Pradesh,1129714,276341,1406055
18/03/2021,Arunachal Pradesh,51214,14572,65786
18/03/2021,Assam,516647,93180,609827
18/03/2021,Bihar,1362861,362520,1725381
18/03/2021,Chandigarh,52481,7669,60150
18/03/2021,Chhattisgarh,946520,247354,1193874
18/03/2021,Dadra and Nagar Haveli and Daman and Diu,17064,3424,20488
18/03/2021,Delhi,746426,161571,907997
18/03/2021,Goa,71086,12010,83096
18/03/2021,Gujarat,2475269,575732,3051001
18/03/2021,Haryana,702840,129113,831953
18/03/2021,Himachal Pradesh,256373,78464,334837
18/03/2021,Jammu and Kashmir,470807,92572,563379
18/03/2021,Jharkhand,531027,181874,712901
18/03/2021,Karnataka,1676985,349242,2026227
18/03/2021,Kerala,1727014,315358,2042372
18/03/2021,Ladakh,36916,4227,41143
18/03/2021,Lakshadweep,4052,1977,6029
18/03/2021,Madhya Pradesh,1461627,404511,1866138
18/03/2021,Maharashtra,3280955,523187,3804142
18/03/2021,Manipur,79414,16991,96405
18/03/2021,Meghalaya,56757,15727,72484
18/03/2021,Mizoram,49814,11212,61026
18/03/2021,Nagaland,50642,15273,65915
18/03/2021,Odisha,1226047,355289,1581336
18/03/2021,Puducherry,36592,5068,41660
18/03/2021,Punjab,390837,78669,469506
18/03/2021,Rajasthan,3131450,607287,3738737
18/03/2021,Sikkim,48331,8884,57215
18/03/2021,Tamil Nadu,1655864,184205,1840069
18/03/2021,Telangana,640285,191799,832084
18/03/2021,Tripura,191661,62371,254032
18/03/2021,Uttar Pradesh,2912986,755959,3668945
18/03/2021,Uttarakhand,366801,101592,468393
18/03/2021,West Bengal,2691400,457950,3149350
18/03/2021,Miscellaneous,1366369,206444,1572813
18/03/2021,Total,32426230,6913587,39339817
19/03/2021,Andaman and Nicobar Islands,13517,3989,17506
19/03/2021,Andhra Pradesh,1216366,287421,1503787
19/03/2021,Arunachal Pradesh,52721,15477,68198
19/03/2021,Assam,529704,98114,627818
19/03/2021,Bihar,1432884,372720,1805604
19/03/2021,Chandigarh,54177,8065,62242
19/03/2021,Chhattisgarh,1005918,258528,1264446
19/03/2021,Dadra and Nagar Haveli and Daman and Diu,18004,3575,21579
19/03/2021,Delhi,764919,172577,937496
19/03/2021,Goa,73840,12544,86384
19/03/2021,Gujarat,2682122,589846,3271968
19/03/2021,Haryana,760350,132547,892897
19/03/2021,Himachal Pradesh,274892,81189,356081
19/03/2021,Jammu and Kashmir,483488,100033,583521
19/03/2021,Jharkhand,547088,185844,732932
19/03/2021,Karnataka,1923165,361034,2284199
19/03/2021,Kerala,1852920,326417,2179337
19/03/2021,Ladakh,37427,4777,42204
19/03/2021,Lakshadweep,4106,2003,6109
19/03/2021,Madhya Pradesh,1465679,405077,1870756
19/03/2021,Maharashtra,3501550,558783,4060333
19/03/2021,Manipur,80166,18747,98913
19/03/2021,Meghalaya,58503,18153,76656
19/03/2021,Mizoram,50055,11564,61619
19/03/2021,Nagaland,51428,15925,67353
19/03/2021,Odisha,1326275,362407,1688682
19/03/2021,Puducherry,38880,5541,44421
19/03/2021,Punjab,422192,81924,504116
19/03/2021,Rajasthan,3407251,639945,4047196
19/03/2021,Sikkim,50280,9409,59689
19/03/2021,Tamil Nadu,1768349,196301,1964650
19/03/2021,Telangana,671506,202129,873635
19/03/2021,Tripura,222282,65318,287600
19/03/2021,Uttar Pradesh,3224855,783705,4008560
19/03/2021,Uttarakhand,394919,105105,500024
19/03/2021,West Bengal,3000505,481943,3482448
19/03/2021,Miscellaneous,1379747,242686,1622433
19/03/2021,Total,34842030,7221362,42063392
20/03/2021,Andaman and Nicobar Islands,13785,4347,18132
20/03/2021,Andhra Pradesh,1312896,298188,1611084
20/03/2021,Arunachal Pradesh,54050,15869,69919
20/03/2021,Assam,542374,102817,645191
20/03/2021,Bihar,1531693,386252,1917945
20/03/2021,Chandigarh,55726,8446,64172
20/03/2021,Chhattisgarh,1072388,268102,1340490
20/03/2021,Dadra and Nagar Haveli and Daman and Diu,18661,3663,22324
20/03/2021,Delhi,797588,186677,984265
20/03/2021,Goa,76489,13019,89508
20/03/2021,Gujarat,2916065,598596,3514661
20/03/2021,Haryana,773842,133636,907478
20/03/2021,Himachal Pradesh,283251,83251,366502
20/03/2021,Jammu and Kashmir,494758,105157,599915
20/03/2021,Jharkhand,680446,192742,873188
20/03/2021,Karnataka,2109425,371724,2481149
20/03/2021,Kerala,1962681,334495,2297176
20/03/2021,Ladakh,38003,5246,43249
20/03/2021,Lakshadweep,4183,2014,6197
20/03/2021,Madhya Pradesh,1797532,430724,2228256
20/03/2021,Maharashtra,3670363,595149,4265512
20/03/2021,Manipur,81251,20928,102179
20/03/2021,Meghalaya,59169,19385,78554
20/03/2021,Mizoram,50501,11746,62247
20/03/2021,Nagaland,51682,16252,67934
20/03/2021,Odisha,1417557,367290,1784847
20/03/2021,Puducherry,42524,6041,48565
20/03/2021,Punjab,452004,84404,536408
20/03/2021,Rajasthan,3624232,649981,4274213
20/03/2021,Sikkim,51523,9742,61265
20/03/2021,Tamil Nadu,1878339,207782,2086121
20/03/2021,Telangana,692820,202526,895346
20/03/2021,Tripura,250032,66719,316751
20/03/2021,Uttar Pradesh,3336540,789966,4126506
20/03/2021,Uttarakhand,409592,107659,517251
20/03/2021,West Bengal,3130942,499968,3630910
20/03/2021,Miscellaneous,1390280,278151,1668431
20/03/2021,Total,37125187,7478654,44603841
21/03/2021,Andaman and Nicobar Islands,13785,4347,18132
21/03/2021,Andhra Pradesh,1312896,298188,1611084
21/03/2021,Arunachal Pradesh,54050,15869,69919
21/03/2021,Assam,544139,103130,647269
21/03/2021,Bihar,1531693,386252,1917945
21/03/2021,Chandigarh,55875,8449,64324
21/03/2021,Chhattisgarh,1073250,268250,1341500
21/03/2021,Dadra and Nagar Haveli and Daman and Diu,18661,3663,22324
21/03/2021,Delhi,797941,186714,984655
21/03/2021,Goa,76489,13019,89508
21/03/2021,Gujarat,3120338,601245,3721583
21/03/2021,Haryana,774304,133697,908001
21/03/2021,Himachal Pradesh,284645,83353,367998
21/03/2021,Jammu and Kashmir,494758,105157,599915
21/03/2021,Jharkhand,829199,196743,1025942
21/03/2021,Karnataka,2129706,372403,2502109
21/03/2021,Kerala,1968582,334671,2303253
21/03/2021,Ladakh,38035,5248,43283
21/03/2021,Lakshadweep,4183,2014,6197
21/03/2021,Madhya Pradesh,1797532,430724,2228256
21/03/2021,Maharashtra,3682577,595905,4278482
21/03/2021,Manipur,81297,21061,102358
21/03/2021,Meghalaya,59169,19385,78554
21/03/2021,Mizoram,50501,11746,62247
21/03/2021,Nagaland,51682,16252,67934
21/03/2021,Odisha,1417557,367290,1784847
21/03/2021,Puducherry,42524,6041,48565
21/03/2021,Punjab,461475,84777,546252
21/03/2021,Rajasthan,3637514,651387,4288901
21/03/2021,Sikkim,51523,9742,61265
